match_id,over_id,ball_id,innings_no,team_batting,team_bowling,striker_batting_position,extra_type,runs_scored,extra_runs,wides,legbyes,byes,noballs,penalty,bowler_extras,out_type,caught,bowled,run_out,lbw,retired_hurt,stumped,caught_and_bowled,hit_wicket,obstructingfeild,bowler_wicket,match_date,season,striker,non_striker,bowler,player_out,fielders,striker_match_sk,strikersk,nonstriker_match_sk,nonstriker_sk,fielder_match_sk,fielder_sk,bowler_match_sk,bowler_sk,playerout_match_sk,battingteam_sk,bowlingteam_sk,keeper_catch,player_out_sk,matchdatesk
598063,13,5,2,5,3,6,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,391,null,null,21104,254,21099,31,-1,-1,21119,390,-1,4,2,null,0,null
598063,13,6,2,5,3,5,No Extras,6,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,391,null,null,21099,31,21104,254,-1,-1,21119,390,-1,4,2,null,0,null
598063,12,1,2,5,3,6,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,350,null,null,21104,254,21099,31,-1,-1,21117,349,-1,4,2,null,0,null
598063,12,2,2,5,3,6,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,350,null,null,21104,254,21099,31,-1,-1,21117,349,-1,4,2,null,0,null
598063,12,3,2,5,3,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,350,null,null,21099,31,21104,254,-1,-1,21117,349,-1,4,2,null,0,null
598063,12,4,2,5,3,6,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,350,null,null,21104,254,21099,31,-1,-1,21117,349,-1,4,2,null,0,null
598063,12,5,2,5,3,6,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,350,null,null,21104,254,21099,31,-1,-1,21117,349,-1,4,2,null,0,null
598063,12,6,2,5,3,6,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,350,null,null,21104,254,21099,31,-1,-1,21117,349,-1,4,2,null,0,null
598063,11,1,2,5,3,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,201,null,null,21099,31,21104,254,-1,-1,21116,200,-1,4,2,null,0,null
598063,11,2,2,5,3,6,wides,0,1,1,0,0,0,0,1,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,201,null,null,21104,254,21099,31,-1,-1,21116,200,-1,4,2,null,0,null
